"region (S)","id (S)","channel (N)","channelTitle (S)","createdAt (N)","durationMins (N)","end (N)","expires (N)","live (BOOL)","mainCategory (S)","programmingId (S)","repeat (BOOL)","start (N)","title (S)","updatedAt (N)","channelCategories (SS)","description (S)","subcategories (SS)","episodeTitle (S)","channelMinor (N)"
"cincinnati","088d5f05-92af-5940-a8be-0b41e88fe7ea","611","SECHD","1572710876618","180","1572721200000","1572723000","true","Sports","EP029941832447","false","1572710400000","Texas-San Antonio @ Texas A&M","1572710876619","{ ""HDTV Channels"", ""Sports Channels"" } ","The Aggies (5-3) host the Roadrunners (3-4) in a battle of Lone Star State schools. Texas A&M prevailed 23-10 in 2016 in the only previous meeting. The Aggies have won two consecutive games after a 49-30 victory over Mississippi State last week.","{ ""Football"" } ","Texas-San Antonio at Texas A&M",
"cincinnati","a2f4ed1d-150e-50eb-9937-946a83e735ba","208","ESPNUHD","1572710876576","180","1572721200000","1572723000","true","Sports","EP029941832440","false","1572710400000","Buffalo @ Eastern Michigan","1572710876578","{ ""HDTV Channels"", ""Sports Channels"" } ","The Bulls (4-4, 2-2 MAC) try for their third straight victory when they visit the Eagles (4-4, 1-3). Jaret Patterson rushed for 149 yards and a TD in Buffalo's 43-20 win Oct. 26 over Central Michigan. Eastern Michigan is 6-2 all-time against Buffalo.","{ ""Football"" } ","Buffalo at Eastern Michigan",
"cincinnati","31fe8f58-0457-5e5e-84e9-c68bbeeac72d","610","BTNHD","1572718076574","180","1572733800000","1572735600","true","Sports","EP029941832455","false","1572723000000","Rutgers @ Illinois","1572718076575","{ ""HDTV Channels"", ""Sports Channels"" } ","The Fighting Illini (4-4, 2-3 Big Ten) host the Scarlet Knights (2-6, 0-5) for a Big Ten engagement in Week 10. The visiting side won the matchup between these schools in each of the last three seasons, with Illinois prevailing 38-17 last year.","{ ""Football"" } ","Rutgers at Illinois",
"cincinnati","6e540823-2c2c-58a1-af02-38bc01301c38","209","ESPN2HD","1572718076536","180","1572735600000","1572737400","true","Sports","EP029941832438","false","1572724800000","Tulsa @ Tulane","1572718076537","{ ""HDTV Channels"", ""Sports Channels"" } ","The Green Wave (5-3, 2-2 AAC) and Golden Hurricane (2-6, 0-4) try to end losing streaks in Week 10. Tulane, which is 4-0 at home this season, has won two in a row against Tulsa. That streak began with a 62-28 Green Wave home victory in 2017.","{ ""Football"" } ","Tulsa at Tulane",
"cincinnati","f25faf96-178a-548b-83ba-e5bb37c34608","206","ESPNHD","1572718076536","180","1572733800000","1572735600","true","Sports","EP029941832454","false","1572723000000","TCU @ Oklahoma State","1572718076537","{ ""HDTV Channels"", ""Sports Channels"" } ","The Horned Frogs aim to slow down the high-octane offense of the Cowboys. TCU (4-3, 2-2 Big 12) try to halt the progress of one of the best runners in football as Oklahoma State's (5-3, 2-3) Chuba Hubbard leads the nation with 1,381 rushing yards.","{ ""Football"" } ","TCU at Oklahoma State",
"cincinnati","c13391bb-ea78-5542-b728-1df75ef63414","209","ESPN2HD","1572710876577","180","1572721200000","1572723000","true","Sports","EP029941832435","false","1572710400000","Houston @ UCF","1572710876578","{ ""HDTV Channels"", ""Sports Channels"" } ","The Knights (6-2, 3-1 AAC) try to keep their American Athletic Conference title hopes alive when they host the Cougars (3-5, 1-3). Central Florida has erupted for victories at Temple 63-21 and versus East Carolina 41-28 in its last two contests.","{ ""Football"" } ","Houston at UCF",
"cincinnati","0a614a5e-ed49-533f-9329-61e37d1cc143","219","FS1HD","1572718076536","210","1572735600000","1572737400","true","Sports","EP029941832453","false","1572723000000","Kansas State @ Kansas","1572718076537","{ ""HDTV Channels"", ""Sports Channels"" } ","The No. 22 Wildcats (5-2, 2-2 Big 12) try for their 11th straight victory over the host Jayhawks (3-5, 1-4). Kansas State entered the Top 25 after shocking then-No. 5 Oklahoma 48-41 on Oct. 26 as quarterback Skylar Thompson rushed for four TDs.","{ ""Football"" } ","Kansas State at Kansas",
"cincinnati","8a1444f9-6635-5d6b-ac8f-54edaf5c594d","215","NHLHD","1572714477006","60","1572724800000","1572726600","true","Sports","EP029977171690","false","1572721200000","Oilers @ Penguins","1572714477007","{ ""HDTV Channels"", ""Sports Channels"" } ","The Penguins expect to have Evgeni Malkin back in the lineup as they play host to the Oilers. Malkin suffered a leg injury Oct. 5 in the second game of the Pens' season. Pittsburgh is 14-0-3 against Edmonton since Malkin entered the league in 2006.","{ ""Hockey"" } ","Edmonton Oilers at Pittsburgh Penguins",
"cincinnati","f5688336-5fa8-5d69-aaa6-b1f81ce1556c","215","NHLHD","1572718076536","60","1572728400000","1572730200","true","Sports","EP029977171691","false","1572724800000","Rangers @ Predators","1572718076537","{ ""HDTV Channels"", ""Sports Channels"" } ","The Predators finish a homestand by hosting the Rangers. Mika Zibanejad collected five assists against Nashville in 2018-19 in a series split for his New York side. Zibanejad's 10 points this season place him in a three-way tie for the Rangers lead.","{ ""Hockey"" } ","New York Rangers at Nashville Predators",
"cincinnati","9c60fc25-eb3d-5891-9a54-a3485b8fc6cd","614","ECL","1572714477069","120","1572724800000","1572726600","false","Sports","EP007941960632","true","1572717600000","1985 World Series, Game 7: St. Louis Cardinals @ Royals","1572714477069","{ ""Sports Channels"" } ","The Royals blank the Cardinals 11-0. Bret Saberhagen throws a five-hitter against the Cardinals. From Oct. 27, 1985.","{ ""Baseball"" } ","1985 World Series, Game 7: St. Louis Cardinals at Kansas City Royals",
"cincinnati","9f0e6780-c7cf-506c-9593-40434f73b912","9","ABC","1572718076536","180","1572733800000","1572735600","true","Sports","EP029941832461","false","1572723000000","Miami @ Florida State","1572718076537","{ ""HDTV Channels"", ""Local Channels"" } ","The Seminoles (4-4, 3-3 ACC) host the Hurricanes (4-4, 2-3) in the 64th meeting between the Sunshine State rivals. Miami leads the series 33-30 after winning the last two meetings by a combined five points. Florida State had won the previous seven.","{ ""Football"" } ","Miami at Florida State",
"cincinnati","eceee556-21cc-5209-acbc-600bc0b3421f","208","ESPNUHD","1572718076536","180","1572733800000","1572735600","true","Sports","EP029941832475","false","1572723000000","Arkansas State @ Louisiana-Monroe","1572718076537","{ ""HDTV Channels"", ""Sports Channels"" } ","The Warhawks (3-4, 2-1 Sun Belt) try to knock off the Red Wolves (4-4, 2-2) for the first time in more than a decade. Louisiana Monroe overcame Arkansas State 16-10 on Oct. 13, 2009. The Red Wolves dumped the Warhawks 31-17 during the 2018 campaign.","{ ""Football"" } ","Arkansas State at Louisiana-Monroe",
"cincinnati","44fe276b-2914-59a8-9b22-14224a5c47fe","213","MLBNHD","1572718076536","180","1572728400000","1572730200","false","Sports","SH033545560000","false","1572717600000","Washington Nationals Parade and Celebration","1572718076537","{ ""HDTV Channels"", ""Sports Channels"" } ","The Washington Nationals celebrate their World Series victory along with their fans.","{ ""Baseball"" } ",,
"cincinnati","9f02faa0-fbdb-5b68-a82a-e78340f8cd3f","215","NHLHD","1572707276960","60","1572717600000","1572719400","false","Sports","EP023944000010","true","1572714000000","NHL Network Countdown","1572707276961","{ ""HDTV Channels"", ""Sports Channels"" } ","The best broadcasting call from the NHL.","{ ""Hockey"" } ","Top 50 Calls of All Time",
"cincinnati","814b648c-e678-57de-85c7-b2cdda1f1a09","606","OUTHD","1572714477047","60","1572724800000","1572726600","false","TV","EP007331290035","true","1572721200000","Deadliest Catch","1572714477048","{ ""Entertainment & Music Channels"", ""HDTV Channels"" } ","The end of the king-crab season draws near.","{ ""Action/Adventure"", ""Documentary"", ""Drama"", ""Interests"", ""Outdoors"", ""Reality"", ""Science/Nature"", ""Series"" } ","Bering Sea Salvation",
"cincinnati","48b56935-1c02-55e9-8db6-aebd664f0d7e","218","GolfHD","1572718076536","180","1572726600000","1572728400","true","Sports","EP005544726522","false","1572715800000","PGA Tour Golf","1572718076537","{ ""HDTV Channels"", ""Sports Channels"" } ","The first edition of the Bermuda Championship continues with the third round at Port Royal Golf Course in Southampton, Bermuda. Canadian golfers Graham DeLaet and 2003 Masters Tournament champ Mike Weir made the trip for this inaugural event.","{ ""Golf"" } ","Bermuda Championship, Third Round",
"cincinnati","231d6227-2754-58b1-81d3-e7564e6fd70f","212","NFLHD","1572710876577","180","1572721200000","1572723000","false","Sports","SH027587770000","true","1572710400000","Good Morning Football: Weekend","1572710876578","{ ""HDTV Channels"", ""Sports Channels"" } ","The latest news, fantasy updates and a look ahead to Sunday's games.","{ ""Football"" } ",,
"cincinnati","5fea8522-7c48-5f6c-97e2-92bda28c9ae4","606","OUTHD","1572718076574","30","1572726600000","1572728400","false","TV","EP031178870007","true","1572724800000","Booger Bottom USA","1572718076575","{ ""Entertainment & Music Channels"", ""HDTV Channels"" } ","The neglected storage pod in the back of the office is filled with old merchandise and the guys decide to have a big yard sale to help the community.","{ ""Outdoors"", ""Series"" } ","Help Your Neighbor",
"cincinnati","b33f862d-7973-5bcf-8616-3d543c071193","19","FOX","1572718076536","210","1572737400000","1572739200","true","Sports","EP029941832469","false","1572724800000","Utah @ Washington","1572718076537","{ ""HDTV Channels"", ""Local Channels"" } ","The ninth-ranked Utes seek a fifth straight win as they challenge the Huskies in Week 10. Washington toppled Utah 21-17 in the 2018 regular season, then prevailed 10-3 in a rematch during the Pac-12 championship game to claim the conference title.","{ ""Football"" } ","Utah at Washington",
"cincinnati","ca5c0dc9-83b7-5a97-b476-03cf11bfd50c","221","CBSSNHD","1572718076537","210","1572735600000","1572737400","true","Sports","EP029941832478","false","1572723000000","Army @ Air Force","1572718076537","{ ""HDTV Channels"", ""Sports Channels"" } ","The second match in the chase for the Commander-in-Chief's Trophy sees the Falcons host the Black Knights. Air Force (6-2) lost the first match when it fell 34-25 to Navy on Oct. 5. Army (3-5) aims to hoist the trophy for a third straight year.","{ ""Football"" } ","Army at Air Force",
"cincinnati","5cec9ef7-98d4-5468-829d-ab59996498b8","213","MLBNHD","1572707276960","120","1572717600000","1572719400","false","Sports","EP005544688384","true","1572710400000","Nationals @ Dodgers","1572707276961","{ ""HDTV Channels"", ""Sports Channels"" } ","The winner moves on to the NLCS as the Dodgers host the Nationals in Game 5 of their NLDS from Los Angeles. Anthony Rendon and Ryan Zimmerman knocked in three runs apiece to help Washington force a fifth and deciding match with a 6-1 Game 4 triumph.","{ ""Baseball"", ""Playoff"" } ","Washington Nationals at Los Angeles Dodgers",
"cincinnati","53f1e0e1-8b2c-5a72-b202-58b00b9a0e1e","247","TBSHD","1572718076574","150","1572733800000","1572735600","false","Movies","MV010417590000","true","1572724800000","Pirates of the Caribbean: Dead Men Tell No Tales","1572718076575","{ ""Entertainment & Music Channels"", ""HDTV Channels"" } ","Thrust into an all-new adventure, a down-on-his-luck Capt. Jack Sparrow feels the winds of ill-fortune blowing even more strongly when deadly ghost sailors led by his old nemesis, the evil Capt. Salazar, escape from the Devil's Triangle. Jack's only hope of survival lies in seeking out the legendary Trident of Poseidon, but to find it, he must forge an uneasy alliance with a brilliant and beautiful astronomer and a headstrong young man in the British navy.","{ ""Action/Adventure"", ""Fantasy"" } ",,
"cincinnati","8cbc1798-879e-5c7e-b767-05a94099e42b","606","OUTHD","1572707277003","30","1572717600000","1572719400","false","Sports","EP010706460118","true","1572715800000","Reel in the Outdoors","1572707277003","{ ""Entertainment & Music Channels"", ""HDTV Channels"" } ","Tips and Techniques for fishing the Tail Races of the Pickwick Dam on Kentucky Lake.","{ ""Fishing"", ""Water Sports"" } ","Hot Dam",
"cincinnati","c55cf7b5-6e4c-5fd2-873b-2ae48223d626","614","ECL","1572718076574","120","1572732000000","1572733800","false","Sports","EP007941960714","true","1572724800000","1987 World Series, Game 6: St. Louis Cardinals @ Twins","1572718076575","{ ""Sports Channels"" } ","Twins win Game 6, 11-5, to force game 7 against the Cardinals. From Oct. 24, 1987.","{ ""Baseball"" } ","1987 World Series, Game 6: St. Louis Cardinals at Minnesota Twins",
"cincinnati","c1f60d1f-0b57-5c94-aa11-aa16645ae7c5","612","ACCNHD","1572718076574","180","1572735600000","1572737400","true","Sports","EP029941832460","false","1572724800000","Wofford @ Clemson","1572718076575","{ ""HDTV Channels"", ""Sports Channels"" } ","Two impressive streaks collide as the Terriers visit the undefeated fourth-ranked Tigers in South Carolina. Wofford has rattled off five straight victories since beginning the season 0-2. Clemson, which is 8-0 on the year, beat Wofford 49-10 in 2015.","{ ""Football"" } ","Wofford at Clemson",
"cincinnati","13c9c777-d173-5919-b9bc-3be654ce018c","19","FOX","1572714477006","210","1572723000000","1572724800","true","Sports","EP029941832458","false","1572710400000","Nebraska @ Purdue","1572714477007","{ ""HDTV Channels"", ""Local Channels"" } ","Two teams aiming to end two-game slides meet as the Boilermakers face the Cornhuskers. Nebraska (4-4, 2-3 Big Ten) aims to avenge a home loss against Purdue (2-6, 1-4) last season, as the Boilermakers handed the Huskers a 42-28 defeat in that game.","{ ""Football"" } ","Nebraska at Purdue",
"cincinnati","c1b071ed-3835-5af0-bd52-eb397924c17f","220","NBCSHD","1572714477047","125","1572723000000","1572724800","true","Sports","EP005212627912","false","1572715500000","Premier League Soccer","1572714477047","{ ""HDTV Channels"", ""Sports Channels"" } ","Watford welcomes Chelsea to Vicarage Road in matchround 11 of the 2019-2020 Premier League. The Hornets won only two of their 12 Premier League fixtures against the Blues: a 1-0 home victory on Sept. 18, 1999, and a 4-1 home triumph on Feb. 5, 2018.","{ ""Soccer"" } ","Watford FC vs. Chelsea FC",
"cincinnati","a8425971-eda6-5345-a9ea-fdd578b49df3","605","SPMN","1572718076574","30","1572732000000","1572733800","false","Sports","EP032694670002","true","1572730200000","Winchester Deadly Passion","1572718076575","{ ""Sports Channels"" } ","When it comes to bowfishing, Melissa is on an adventure of a lifetime. From redfish and tuna to sharks and alligator gar, this is one action-packed episode.","{ ""Hunting"" } ","Summer Bowfishing Tour",
"cincinnati","44939875-d1a5-5ce1-b2d7-9a5e0db74654","245","TNTWHD","1572714477047","135","1572722100000","1572723900","false","Movies","MV006867320000","true","1572714000000","Paper Towns","1572714477047","{ ""Entertainment & Music Channels"", ""HDTV Channels"" } ","Young and shy Quentin (Nat Wolff) is in for the night of his life when Margo (Cara Delevingne), the most popular student in high school, recruits him to help her play mischievous pranks on the friends who betrayed her. The next day, however, the mysterious Margo is nowhere to be found. With help from a few buddies and some cryptic clues that she left behind, Quentin embarks on an obsessive mission to find the girl who stole his heart and made him feel truly alive.","{ ""Action/Adventure"", ""Comedy"", ""Drama"", ""Mystery/Crime"" } ",,
